4.03226	-141.396	705.853	0.8632	1117.44	6
4.19355	-134.856	670.271	-0.4716	938.142	6
4.35484	-128.734	686.233	-0.418	926.101	6
4.51613	-122.837	654.864	1.1494	849.792	6
4.67742	-118.596	641.168	0.0362	779.226	6
4.83871	-113.596	633.696	-0.3134	748.496	6
5	-109.908	623.265	-0.4456	729.998	6
0	-512	0	-256	0	7
0.16129	-512	0	-256	0	7
0.322581	-512	0	-256	0	7
0.483871	-512	0	-256	0	7
0.645161	-511.987	0.102236	-255.997	0.00638976	7
0.806452	-511.881	0.979487	-255.97	0.0639	7
0.967742	-511.514	4.05462	-255.876	0.272174	7
1.12903	-510.093	15.7674	-255.507	1.11575	7
1.29032	-507.276	41.5238	-254.752	3.1407	7
1.45161	-502.027	88.1817	-253.265	7.87799	7
1.6129	-492.708	181.571	-250.505	19.1962	7
1.77419	-478.366	334.986	-245.814	44.012	7
1.93548	-459.043	551.997	-238.846	94.0634	7
2.09677	-426.449	1033.02	-222.827	428.705	7
2.25806	-377.197	1952.34	7.8166	37287.3	7
2.41935	-315.542	2144.22	22.556	19104.1	7
2.58065	-269.432	1478.36	5.6702	9032.64	7
2.74194	-240.503	1090.71	5.0784	5039.25	7
2.90323	-220.372	983.263	-2.131	3636.24	7
3.06452	-203.711	905.243	-3.836	2696.17	7
3.22581	-189.08	850.27	-1.9948	2170.09	7
3.3871	-177.019	770.155	-0.781	1765.84	7
3.54839	-165.351	759.413	2.3596	1469.13	7
3.70968	-156.985	742.541	-1.2442	1316.53	7
3.87097	-148.607	710.39	-0.3044	1209.55	7
4.03226	-141.246	678.231	-0.8568	1089.4	7
4.19355	-134.407	665.146	-0.2684	968.093	7
4.35484	-128.653	685.277	0.0296	948.654	7
4.51613	-123.131	659.998	0.0182	873.236	7
4.67742	-118.191	631.375	-0.343	800.268	7
4.83871	-113.924	653.716	0.6518	789.703	7
5	-109.91	621.765	-0.612	729.526	7
